,gen,nevals,avg,min,max
470,470,363,0.7102800000000002,0.618,0.716
471,471,365,0.7058400000000001,0.5,0.716
472,472,363,0.71416,0.624,0.716
473,473,356,0.70696,0.5,0.716
474,474,364,0.7039600000000001,0.508,0.716
475,475,365,0.7070400000000001,0.5,0.716
476,476,354,0.7134400000000001,0.594,0.716
477,477,352,0.70356,0.5,0.716
478,478,362,0.70896,0.5,0.716
479,479,352,0.7120800000000002,0.622,0.716
480,480,360,0.7134800000000001,0.628,0.716
481,481,359,0.7106800000000001,0.588,0.716
482,482,365,0.7133600000000001,0.608,0.716
483,483,361,0.70608,0.5,0.716
484,484,355,0.7094400000000001,0.628,0.716
485,485,367,0.7096000000000001,0.556,0.716
486,486,358,0.7112000000000002,0.5,0.716
487,487,361,0.7104400000000001,0.528,0.716
488,488,363,0.70852,0.528,0.716
489,489,371,0.7160000000000001,0.716,0.716
490,490,355,0.7123600000000002,0.534,0.716
491,491,361,0.7127600000000001,0.652,0.716
492,492,355,0.7147600000000002,0.668,0.716
493,493,369,0.7046400000000002,0.5,0.716
494,494,355,0.7010000000000001,0.5,0.716
495,495,366,0.7071200000000002,0.508,0.716
496,496,357,0.7132400000000001,0.652,0.716
497,497,357,0.71164,0.52,0.716
498,498,371,0.7115200000000002,0.512,0.716
499,499,359,0.7119200000000001,0.512,0.716
500,500,365,0.71284,0.62,0.716
501,501,361,0.7116800000000002,0.658,0.716
502,502,363,0.7146399999999999,0.682,0.716
503,503,355,0.7118800000000002,0.594,0.716
504,504,360,0.71152,0.566,0.716
505,505,367,0.7111200000000001,0.534,0.716
506,506,361,0.71008,0.554,0.716
507,507,373,0.7128399999999999,0.62,0.716
508,508,366,0.71268,0.626,0.716
509,509,359,0.7058000000000001,0.508,0.716
510,510,357,0.70828,0.516,0.716
511,511,358,0.7015200000000001,0.47,0.716
512,512,356,0.7023600000000002,0.5,0.716
513,513,352,0.70796,0.5,0.716
514,514,365,0.7160000000000001,0.716,0.716
515,515,356,0.70324,0.544,0.716
516,516,349,0.7017600000000002,0.5,0.716
517,517,360,0.71128,0.566,0.716
518,518,364,0.7088000000000001,0.532,0.716
519,519,352,0.7065200000000001,0.5,0.716
520,520,360,0.7056,0.5,0.716
521,521,362,0.7074000000000001,0.5,0.716
522,522,357,0.7030800000000003,0.534,0.716
523,523,361,0.7133200000000001,0.64,0.716
524,524,354,0.70096,0.5,0.716
525,525,365,0.71536,0.69,0.716
526,526,358,0.71,0.52,0.716
527,527,349,0.7124400000000002,0.634,0.716
528,528,352,0.7115200000000002,0.534,0.716
529,529,361,0.70356,0.518,0.716
530,530,362,0.7110000000000001,0.532,0.716
531,531,358,0.71528,0.696,0.716
532,532,356,0.71124,0.622,0.716
533,533,352,0.71084,0.518,0.716
534,534,360,0.7074000000000001,0.54,0.716
535,535,366,0.71132,0.614,0.716
536,536,368,0.70064,0.5,0.716
537,537,358,0.7070799999999999,0.55,0.716
538,538,361,0.7047599999999999,0.55,0.716
539,539,355,0.7107600000000002,0.5,0.716
540,540,356,0.7160000000000001,0.716,0.716
541,541,361,0.7031200000000001,0.5,0.716
542,542,355,0.7070000000000001,0.508,0.716
543,543,370,0.70028,0.5,0.716
544,544,366,0.70684,0.526,0.716
545,545,362,0.70548,0.5,0.716
546,546,348,0.6996400000000002,0.482,0.716
547,547,368,0.7099200000000002,0.532,0.716
548,548,359,0.71416,0.624,0.716
549,549,355,0.7040000000000001,0.52,0.716
550,550,364,0.71012,0.632,0.716
551,551,355,0.7096800000000002,0.482,0.716
552,552,357,0.7021999999999999,0.494,0.716
553,553,357,0.71148,0.612,0.716
554,554,353,0.6928,0.456,0.716
555,555,362,0.71256,0.612,0.716
556,556,361,0.7112,0.502,0.716
557,557,361,0.7115200000000002,0.514,0.716
